Algorithm : Bellman-Ford

Source : 0

Vertex	Distance
0	0
1	4
2	-1
3	2
4	8
5	3
6	6
7	3
8	-2
9	1
10	6
11	1
12	4
13	12
14	7
15	10
16	7
17	2
18	5
19	10
20	5
21	8
22	7
23	2
24	5
25	2
26	-3
27	0
28	5
29	0
30	3
31	10
32	5
33	8
34	5
35	0
36	3
37	8
38	3
39	6
40	16
41	11
42	14
43	11
44	6
45	9
46	14
47	9
48	12
49	11
50	6
51	9
52	6
53	1
54	4
55	9
56	4
57	7
58	14
59	9
60	12
61	9
62	4
63	7
64	12
65	7
66	10
67	11
68	6
69	9
70	6
71	1
72	4
73	9
74	4
75	7
76	6
77	1
78	4
79	1
80	-4
81	-1
82	4
83	-1
84	2
85	9
86	4
87	7
88	4
89	-1
90	2
91	7
92	2
93	5
94	14
95	9
96	12
97	9
98	4
99	7

Negative cycle : none

Execution Time : 0.0237 ms
