Algorithm: Kruskal's MST
MST edges:
85611 97654 1
14969 34749 1
22183 61703 1
51700 61619 1
51698 92786 1
2381 11475 1
2380 82621 1
56627 92986 1
22189 71491 1
34609 38252 1
22197 36387 1
6719 43719 1
6720 64953 1
6678 13894 1
6743 15878 1
51657 60266 1
2365 83417 1
22230 73502 1
6751 93374 1
6752 36393 1
34516 92701 1
22244 51911 1
14900 95117 1
6758 21717 1
22254 83158 1
85634 90105 1
2392 32631 1
65523 93998 1
59808 99528 1
34799 70149 1
59811 73065 1
77793 90728 1
6616 20271 1
65501 98002 1
22136 37787 1
44977 45213 1
6635 7422 1
6637 19218 1
6642 39612 1
526 25112 1
44984 73527 1
34737 71867 1
22161 30296 1
22166 98350 1
22167 22343 1
59850 71887 1
6669 11640 1
6673 53042 1
2384 21014 1
2384 8097 1
507 78817 1
6676 83058 1
6939 11272 1
22379 44474 1
14787 50761 1
34230 95525 1
14765 18434 1
34210 69232 1
34198 49209 1
60058 74783 1
55010 94128 1
45231 49967 1
77346 79371 1
77331 77904 1
6937 34860 1
45187 48206 1
34100 56292 1
14708 62749 1
2305 20323 1
34095 85762 1
70307 78580 1
554 83353 1
34086 82097 1
34085 44728 1
556 11192 1
6970 44620 1
6971 71276 1
34029 61705 1
34409 46674 1
22269 24762 1
2359 4793 1
22275 35392 1
14874 87918 1
45108 54060 1
34444 77893 1
22285 26557 1
6796 66188 1
22289 47851 1
70169 99869 1
14846 18145 1
22305 53421 1
34815 57972 1
92304 94167 1
22319 94027 1
45148 50433 1
2349 74572 1
51577 71190 1
34373 34526 1
14826 78976 1
6825 37616 1
14814 43441 1
6839 27993 1
22365 31295 1
44758 80363 1
6288 69478 1
21725 87412 1
35421 95412 1
2493 5466 1
6305 11652 1
54908 74859 1
54908 96284 1
69805 79777 1
44713 67948 1
35305 64734 1
6356 21130 1
6356 25231 1
15383 21034 1
6377 56515 1
21814 32746 1
6390 61728 1
2468 11895 1
6397 75061 1
6402 31971 1
85335 97231 1
35177 80808 1
21845 27420 1
21848 75882 1
21858 34357 1
2459 98313 1
35580 60024 1
35686 49471 1
15486 80779 1
52115 66268 1
44586 51526 1
21616 44572 1
21617 50644 1
15465 66578 1
35623 70109 1
6206 11797 1
59550 69850 1
2517 53118 1
6218 23413 1
35162 47257 1
15444 29664 1
15441 18455 1
35550 56732 1
35516 46317 1
44636 53643 1
65738 89924 1
2501 57025 1
52037 62131 1
6282 13199 1
69776 86064 1
44674 80681 1
2496 64985 1
22017 61165 1
21987 32510 1
34969 96831 1
15159 15788 1
21992 98637 1
59760 61895 1
44896 95940 1
34940 79333 1
15146 74667 1
59769 79917 1
15132 66480 1
15131 15799 1
6560 32472 1
21970 97878 1
6573 8332 1
22033 31503 1
34867 35688 1
85516 91858 1
34856 95727 1
6578 19763 1
22049 70016 1
6582 79964 1
15094 67240 1
2406 41514 1
6590 10354 1
6593 88176 1
15199 85380 1
21872 36391 1
460 50426 1
15227 98110 1
6445 6726 1
21901 44176 1
6449 40497 1
69921 91910 1
6457 17291 1
51892 75949 1
78000 81284 1
65606 92921 1
6463 39470 1
51496 90741 1
65596 99496 1
35067 80577 1
51868 74333 1
51863 89134 1
35042 92862 1
44850 66483 1
6492 78635 1
470 20097 1
51857 55347 1
6509 82455 1
51849 61127 1
7586 60436 1
14147 50124 1
14147 22595 1
2150 41047 1
23161 25451 1
45782 62555 1
14130 19276 1
7563 56896 1
32869 87593 1
7566 8392 1
7572 39488 1
45819 85636 1
70721 95605 1
45766 46417 1
7592 14217 1
23193 99637 1
23196 55100 1
51053 77923 1
51050 64479 1
45844 58217 1
32787 92205 1
64875 89412 1
60569 62745 1
659 58731 1
45852 74923 1
2128 7314 1
23058 39047 1
45641 68768 1
33189 47718 1
14256 53224 1
56444 90944 1
23001 24639 1
23004 37548 1
33150 43441 1
33140 40425 1
7446 30524 1
55091 83821 1
23052 63802 1
33053 45617 1
14069 95317 1
7473 79002 1
33029 99114 1
7498 8710 1
2165 59202 1
51110 98541 1
51106 88833 1
23093 66236 1
32951 88877 1
7533 15204 1
32934 42900 1
7538 15392 1
7540 12640 1
91340 94478 1
32578 67647 1
45942 53248 1
7721 19450 1
32545 37387 1
70806 88388 1
32542 57816 1
7735 55849 1
13973 55151 1
32485 33688 1
7754 77132 1
45975 96933 1
13953 60956 1
76364 87453 1
