Algorithm: Prim's MST
MST edges:
0 1 6
1 3 1
1 70 7
0 50 10
70 44 17
44 83 3
44 49 8
49 67 4
44 32 10
32 31 4
32 47 6
31 19 17
1 4 22
4 85 3
4 53 8
53 16 3
16 21 7
21 94 11
94 68 3
4 69 21
67 78 23
78 96 18
96 75 1
49 71 24
3 2 28
2 11 10
2 43 28
43 79 5
79 89 3
43 7 26
7 91 8
7 87 12
87 18 4
7 41 14
7 63 15
63 73 1
63 17 7
63 26 9
26 99 6
18 54 16
54 59 3
17 28 23
28 48 14
99 82 24
82 29 3
7 10 25
10 39 5
39 14 8
39 25 21
25 34 7
34 45 5
45 22 23
17 65 26
65 6 21
6 90 10
90 8 11
6 98 14
98 9 16
9 77 12
90 61 20
45 36 30
36 46 18
69 80 30
53 38 32
54 93 32
91 30 33
30 62 22
75 27 34
27 42 15
43 55 35
0 20 36
20 5 17
36 81 39
4 15 40
63 51 41
51 52 19
52 23 41
16 60 43
42 64 45
43 95 46
68 72 49
30 13 50
2 33 51
54 92 53
81 37 54
77 88 55
69 86 56
32 76 57
73 12 59
41 57 59
41 56 63
56 35 25
30 74 64
22 40 66
40 84 43
94 58 70
58 66 37
66 97 32
17 24 72

Total MST weight: 2383
Execution time: 0.0919 ms
